Nombre	Direccion	Latitud	Longitud
+DEC	Calle Castillo de Maya, 28, 31004 Pamplona, Navarre, Spain	42.811346	-1.635592
ADAIX	Calle Paulino Caballero, 49, 31004 Pamplona, Navarre, Spain	42.8099404	-1.6368929
AMICHI	Avenida Carlos III, 32, 31003 Pamplona, Navarre, Spain	42.8114967	-1.6376384
ANA Y YO	Calle Felipe Gorriti, 33, 31004 Pamplona, Navarre, Spain	42.8116103	-1.6364839
BAR - RESTAURANTE ARGILEKU	Calle Olite, 5, 31002 Pamplona, Navarre, Spain	42.8139005	-1.6370586
BAR KOISHTA	Calle Olite, 35, 31004 Pamplona, Navarre, Spain	42.810876	-1.6336711
BIBA ESPACIO DE MODA	Avenida Bayona, 5, 31011 Pamplona, Navarre, Spain	42.81467809999999	-1.6568886
BIBA ESPACIO DE MODA	Calle Paulino Caballero, 15, 31002 Pamplona, Navarre, Spain	42.8135323	-1.6409197
BIJOYA	Calle de Tudela, 17, 31003 Pamplona, Navarre, Spain	42.8119246	-1.643771
C.I.O.	Calle Navarro Villoslada, 7, 31003 Pamplona, Navarre, Spain	42.8122792	-1.640374
CACHET	Calle Cortes de Navarra, 5, 31002 Pamplona, Navarre, Spain	42.8149778	-1.642204
CAMERA	Calle de Francisco Bergamin Kalea, 18, 31003 Pamplona, Navarre, Spain	42.8099411	-1.6385262
CAMERA	Avenida Sancho el Fuerte, 24, 31007 Pamplona, Navarre, Spain	42.810262	-1.6561092
CAMERA	31002 Pamplona, Navarre, Spain	42.8142568	-1.6432837
CASA CAMBRA	Calle Tafalla, 13, 31004 Pamplona, Navarre, Spain	42.8122022	-1.6371414
CASA MANTEROLA	Calle de Tudela, 5, 31002 Pamplona, Navarre, Spain	42.8132403	-1.6444201
CASH CONVERTERS	Calle Paulino Caballero, 26, 31003 Pamplona, Navarre, Spain	42.8111562	-1.6384963
CENTRO DE MASAJES HERA	Calle Amaya, 36, 31004 Pamplona, Navarre, Spain	42.8108707	-1.635444
CHAMPAGNE Y FRESAS	Calle Paulino Caballero, 32, 31003 Pamplona, Navarre, Spain	42.8112536	-1.6384426
CHARGUI	Calle Paulino Caballero, 24, 31003 Pamplona, Navarre, Spain	42.8115388	-1.6389239
CIENHILOS	Calle Navarro Villoslada, 2, 31003 Pamplona, Navarre, Spain	42.8125379	-1.6402761
CLARKS	Avenida Carlos III, 16, 31002 Pamplona, Navarre, Spain	42.8138041	-1.6402162
CONFITURAS GOYA	31003 Pamplona, Navarre, Spain	42.8100156	-1.641463
CRISTAL	Calle Castillo de Maya, 37, 31004 Pamplona, Navarre, Spain	42.8108452	-1.6360097
CUADRADO	Calle Cortes de Navarra, 3, 31002 Pamplona, Navarre, Spain	42.8151187	-1.6419695
CUCADAS	Avenida Carlos III, 30, 31003 Pamplona, Navarre, Spain	42.8117026	-1.63787
DANA MODELS AGENCY	Calle Olite, 12, 31002 Pamplona, Navarre, Spain	42.8143473	-1.6379767
DANIELI JOYEROS	Calle de Francisco Bergamin Kalea, 7, 31003 Pamplona, Navarre, Spain	42.8126129	-1.6412187
DEJAVU MODELS	Calle Aoiz, 18, 31004 Pamplona, Navarre, Spain	42.8087047	-1.6363028
DESCANSO Y MASH	Avenida Carlos III, 63, 31003 Pamplona, Navarre, Spain	42.8108552	-1.6366599
DOBLE A DE SCRAP	Calle Iturralde y Suit, 15, 31004 Pamplona, Navarre, Spain	42.8105601	-1.6348182
DONDE SIEMPRE	Calle de los Teobaldos, 1, 31002 Pamplona, Navarre, Spain	42.8134687	-1.638748
DSKRA2	Calle Cortes de Navarra, 3, 31002 Pamplona, Navarre, Spain	42.8151187	-1.6419695
EGUZKILORE ARREGLOS DE ROPA	Nafarroa Behereko Etorbidea, 22, 31004 Pamplona, Navarre, Spain	42.8133119	-1.6368939
EL CALI	Calle Amaya, 18, 31004 Pamplona, Navarre, Spain	42.8125894	-1.6373732
EL COLMADO	Calle Iturralde y Suit, 24, 31004 Pamplona, Navarre, Spain	42.8114499	-1.6336809
EL GOLOSO BARRA BRAVA	Calle Aoiz, 12, 31004 Pamplona, Navarre, Spain	42.8099306	-1.6339074
EL PERRO VERDE	Calle Tafalla, 14, 31004 Pamplona, Navarre, Spain	42.8122614	-1.6373515
ELVIRA BLANCO	Calle Iturralde y Suit, 15, 31004 Pamplona, Navarre, Spain	42.8105601	-1.6348182
EVERS	Calle Tafalla, 16, 31004 Pamplona, Navarre, Spain	42.8121971	-1.6374584
FACIAL CLINIQUE PAMPLONA	Calle de Francisco Bergamin Kalea, 6, 31003 Pamplona, Navarre, Spain	42.8122045	-1.6410428
FARMACIA BASARTE	Avenida Carlos III, 63, 31004 Pamplona, Navarre, Spain	42.8109361	-1.6365262
FARMACIA LOURDES ARRECHEA	Avenida Conde Oliveto, 1, 31003 Pamplona, Navarre, Spain	42.8126781	-1.6435
FARMACIA VENTURA	Calle Tafalla, 21, 31003 Pamplona, Navarre, Spain	42.8114652	-1.6383606
FERRAZ	Calle Estella, 6, 31002 Pamplona, Navarre, Spain	42.8143233	-1.644466
FIDELTRONIC	C/ Navarro Villoslada, 1-BIS, 31003 Pamplona, Navarre, Spain	42.8126949	-1.6397259
FIDELTRONIC-TIEN 21	Calle de Francisco Bergamin Kalea, 37, 31003 Pamplona, Navarre, Spain	42.8100148	-1.6383441
FOTO ESTUDIO TURGEL	Calle Felipe Gorriti, 26, 31003 Pamplona, Navarre, Spain	42.811103	-1.6376265
FOTO GAMA	Calle de Francisco Bergamin Kalea, 41, 31004 Pamplona, Navarre, Spain	42.8094754	-1.6377321
FRITZ	Calle Felipe Gorriti, 31, 31004 Pamplona, Navarre, Spain	42.8118339	-1.6361076
FUIG POLL	31004 Pamplona, Navarre, Spain	42.8119569	-1.6335743
GASTEIZ	Calle Navarro Villoslada, 4, 31003 Pamplona, Navarre, Spain	42.8124541	-1.6404049
GLOW	C/ Tafalla, 20, 31003 Pamplona, Navarre, Spain	42.811744	-1.6382366
GORRICHO SISTEMAS DE DESCANSO	Calle Yanguas y Miranda, 19, 31003 Pamplona, Navarre, Spain	42.8120221	-1.6449038
INDA	Calle Paulino Caballero, 18, 31003 Pamplona, Navarre, Spain	42.8117971	-1.6392187
INTERSPORT IRABIA	Avenida Conde Oliveto, 5, 31003 Pamplona, Navarre, Spain	42.8126251	-1.6438629
J.M. EZCURDIA	Calle Paulino Caballero, 41, 31003 Pamplona, Navarre, Spain	42.8107381	-1.637771
JOYEL	C/ Gorriti, 37, 31004 Pamplona, Navarre, Spain	42.8114283	-1.6368474
KERACONTACT - CENTRO NAVARRO DE LENTES DE CONTACTO	Plaza Blanca de Navarra, 10, 31004 Pamplona, Navarre, Spain	42.8118048	-1.6352687
KIDE	C/ Tafalla, 33, 31003 Pamplona, Navarre, Spain	42.8105421	-1.6399276
KILO ROPA	C/ Teobaldos, 2, 31002 Pamplona, Navarre, Spain	42.81363959999999	-1.6381603
KOALA	Calle Paulino Caballero, 29, 31003 Pamplona, Navarre, Spain	42.8115741	-1.6386991
LA CASA DE LOS QUESOS	Plaza Carlos III el Noble, 3, 31390 Olite, Navarre, Spain	42.4815627	-1.6501877
LA MAR SALADA	Calle Leyre, 12, 31002 Pamplona, Navarre, Spain	42.8144979	-1.638681
LA SILLA	Calle Olite, 4, 31002 Pamplona, Navarre, Spain	42.8149404	-1.638635
LANERA NAVARRA	Calle Tafalla, 14, 31004 Pamplona, Navarre, Spain	42.8122614	-1.6373515
LAZARAU	31003 Pamplona, Navarre, Spain	42.8100156	-1.641463
LEONCE	Calle Castillo de Maya, 44, 31003 Pamplona, Navarre, Spain	42.8103807	-1.6372322
LOLAS	Calle de Francisco Bergamin Kalea, 15, 31003 Pamplona, Navarre, Spain	42.81210009999999	-1.6406427
M.2	Avenida Carlos III, 48, 31004 Pamplona, Navarre, Spain	42.8102429	-1.6362482
MASSADA	Calle Navarro Villoslada, 15, 31003 Pamplona, Navarre, Spain	42.8112158	-1.6421102
MASSALIA	Calle de Francisco Bergamin Kalea, 4, 31003 Pamplona, Navarre, Spain	42.8123795	-1.6412288
MENDI KIROLAK	Calle Castillo de Maya, 45, 31003 Pamplona, Navarre, Spain	42.8098952	-1.6376284
MOKA	Calle Tafalla, 16, 31004 Pamplona, Navarre, Spain	42.8121971	-1.6374584
MONTIEL JOYERO	Avenida Carlos III, 31004 Pamplona, Navarre, Spain	42.8106861	-1.6364936
MOTHERCARE	Calle Castillo de Maya, 39, 31003 Pamplona, Navarre, Spain	42.8104053	-1.6367675
MUEBLES SASKIA	Calle Errotazar, 7, 31014 Pamplona, Navarre, Spain	42.82339839999999	-1.6461553
NAF NAF	Calle Padre Calatayud, 1, 31003 Pamplona, Navarre, Spain	42.8115939	-1.6427314
NAPALI	Calle la Morea, 31191 Cordovilla, Navarre, Spain	42.7873391	-1.6471611
NAVARRAVIVIENDAS.NET	Plaza Conde de Rodezno, 10, 31004 Pamplona, Navarre, Spain	42.8093238	-1.635906
NEXOR ASESORES	Calle Leyre, 4, 31002 Pamplona, Navarre, Spain	42.81563329999999	-1.6367864
NOVOSOFT	31002 Pamplona, Navarre, Spain	42.8142568	-1.6432837
OPTILAB	Calle Amaya, 1, 31002 Pamplona, Navarre, Spain	42.81472170000001	-1.6394749
P. CHOCARRO	Calle Leyre, 19, 31003 Pamplona, Navarre, Spain	42.8118363	-1.6427441
PABLOOCHOA.SHOES	Avenida Carlos III, 47, 31004 Pamplona, Navarre, Spain	42.8121679	-1.6378986
PAPI, MAMI Y YO, 2.0	Calle Tafalla, 29, 31003 Pamplona, Navarre, Spain	42.8107254	-1.639604
PEDALIER	Plaza Blanca de Navarra, 4, 31004 Pamplona, Navarre, Spain	42.811671	-1.6343372
PEDRO BUENO BOUTIQUE	31002 Pamplona, Navarre, Spain	42.8142568	-1.6432837
PEDRO BUENO JOYERO	31002 Pamplona, Navarre, Spain	42.8142568	-1.6432837
PELEGRIN JOYEROS	Calle de Francisco Bergamin Kalea, 4, 31003 Pamplona, Navarre, Spain	42.8123795	-1.6412288
PIEDAD FIRMAS	Calle Leyre, 14, 31002 Pamplona, Navarre, Spain	42.8143721	-1.6388849
PLAN B	Calle Tafalla, 21, 31004 Pamplona, Navarre, Spain	42.8114733	-1.6384048
RADIO FAR	Avenida Conde Oliveto, 2, 31002 Pamplona, Navarre, Spain	42.8129216	-1.6437844
RECREARTE	Calle Sandoval, 6, 31002 Pamplona, Navarre, Spain	42.8141494	-1.6499891
RESTAURANTE ALHAMBRA	Calle de Francisco Bergamin Kalea, 7, 31003 Pamplona, Navarre, Spain	42.8126129	-1.6412187
RESTAURANTE EL MERCAO	Calle Tafalla, 5, 31004 Pamplona, Navarre, Spain	42.8131572	-1.6355563
RESTAURANTE ENEKORRI	Calle Tudela, 14, 31003 Pamplona, Navarre, Spain	42.8077707	-1.6732487
SABOYA HOMBRE	Avenida Zaragoza, 7, 31003 Pamplona, Navarre, Spain	42.8108461	-1.6432515
SABOYA MUJER	Calle Leyre, 21, 31003 Pamplona, Navarre, Spain	42.8116503	-1.6431022
SAIDE CARLOS III	Calle Cortes de Navarra, 7, 31002 Pamplona, Navarre, Spain	42.8146565	-1.6427397
SAIDE OLITE	Calle Olite, 40, 31004 Pamplona, Navarre, Spain	42.8105315	-1.633716
SANTIVERI	Avenida Carlos III, 13, 31002 Pamplona, Navarre, Spain	42.8146988	-1.6407178
SENSEBENE	31004 Pamplona, Navarre, Spain	42.8119569	-1.6335743
SKINC	Calle Castillo de Maya, 38, 31004 Pamplona, Navarre, Spain	42.8109971	-1.6361663
SKUNKFUNK	Calle Emilio Arrieta, 7, 31002 Pamplona, Navarre, Spain	42.8150927	-1.6390138
STORE STEAM	Calle Navarro Villoslada, 14, 31003 Pamplona, Navarre, Spain	42.8113426	-1.6422094
SUKOT	Calle Paulino Caballero, 10, 31003 Pamplona, Navarre, Spain	42.812724	-1.6402439
THE BODY SHOP	Avenida Carlos III, 63, 31004 Pamplona, Navarre, Spain	42.8109361	-1.6365262
TIEMPO BADABUM	Calle Cipriano Olaso, 4, 31004 Pamplona, Navarre, Spain	42.81086550000001	-1.6313686
TIPI	Avenida Carlos III, 13, 31002 Pamplona, Navarre, Spain	42.8146988	-1.6407178
TOCATEJA	Calle Paulino Caballero, 43, 31003 Pamplona, Navarre, Spain	42.81060710000001	-1.6376178
TOUS	Avenida Carlos III, 14, 31002 Pamplona, Navarre, Spain	42.8138933	-1.6403239
VAPEOS	Calle Paulino Caballero, 49, 31004 Pamplona, Navarre, Spain	42.8099404	-1.6368929
VENTANAS GORRITI	Calle Felipe Gorriti, 22, 31004 Pamplona, Navarre, Spain	42.8116726	-1.6366865
VIAJES MARFIL	Avenida Carlos III, 13, 31002 Pamplona, Navarre, Spain	42.8146988	-1.6407178
YVES ROCHER	Avenida Carlos III, 55, 31003 Pamplona, Navarre, Spain	42.8114608	-1.637337
ZAPATOS CARACOL	Calle Paulino Caballero, 46, 31004 Pamplona, Navarre, Spain	42.809711	-1.6369087
ZAPI	Calle Navarro Villoslada, 10, 31003 Pamplona, Navarre, Spain	42.811912	-1.641269
Nombre	Dirección	Latitud	Longitud
